,case,event,startTime,completeTime,amount,paymentAmount,expense,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points
382254,S158867,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,148.0,,,173,,,A,0.0,,NIL,5
387141,S161451,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
329593,S130760,Add penalty,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,77.5,,13.5,7,P,,A,0.0,P,NIL,0
388764,S162326,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,78.0,,,158,,,A,0.0,,NIL,0
384944,S160339,Insert Fine Notification,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,23.0,,13.5,7,P,,A,0.0,P,NIL,0
98798,C21841,Insert Fine Notification,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,78.0,,0.0,189,P,,A,0.0,C,NIL,2
388743,S162318,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
385509,S160631,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
383676,S159655,Insert Fine Notification,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,13.5,158,P,,A,0.0,P,NIL,0
369281,S152293,Payment,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,155.5,91.5,13.5,158,P,,A,91.5,P,NIL,0
380636,S157947,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
378198,S156649,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,78.0,,,158,,,A,0.0,,NIL,0
386896,S161350,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
377248,S156147,Payment,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,77.5,38.0,13.5,7,P,,A,38.0,P,NIL,0
363433,S149252,Payment,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,77.5,51.5,13.5,7,P,,A,51.5,P,NIL,0
360854,S147836,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,158,,,A,0.0,,NIL,0
367496,S151392,Add penalty,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,46.0,,13.5,7,P,,A,0.0,P,NIL,0
366612,S150872,Insert Fine Notification,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,13.5,7,P,,A,0.0,P,NIL,0
388759,S162324,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,78.0,,,158,,,A,0.0,,NIL,0
388757,S162322,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
98284,C21584,Payment,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,46.0,46.0,0.0,180,C,,C,46.0,C,NIL,0
388745,S162319,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
377446,S156235,Payment,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,46.0,36.5,13.5,7,P,,A,36.5,P,NIL,0
387143,S161452,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
372989,S154068,Add penalty,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,46.0,,13.5,7,P,,A,0.0,P,NIL,0
371240,S153263,Payment,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,77.5,91.0,13.5,157,P,,A,91.0,P,NIL,0
374122,S154612,Add penalty,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,77.5,,13.5,7,P,,A,0.0,P,NIL,0
388736,S162316,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
376662,S155881,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
98796,C21841,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,78.0,,,189,,,A,0.0,,NIL,2
387145,S161454,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
386894,S161349,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,78.0,,,158,,,A,0.0,,NIL,2
388752,S162321,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
98797,C21841,Send Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,78.0,,0.0,189,,,A,0.0,,NIL,2
368577,S151943,Add penalty,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,155.5,,13.5,158,P,,A,0.0,P,NIL,2
352722,S143342,Payment,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,77.5,51.5,13.5,7,P,,A,51.5,P,NIL,0
99054,C21988,Send Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,15.0,180,,,A,0.0,,NIL,0
371438,S153360,Payment,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,77.5,51.5,13.5,7,P,,A,51.5,P,NIL,0
388750,S162320,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,78.0,,,158,,,A,0.0,,NIL,0
387150,S161458,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
387155,S161459,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
373639,S154369,Add penalty,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,77.5,,13.5,158,P,,A,0.0,P,NIL,0
373818,S154459,Add penalty,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,155.5,,13.5,158,P,,A,0.0,P,NIL,2
356147,S145190,Payment,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,77.5,51.5,13.5,157,P,,A,51.5,P,NIL,0
378200,S156650,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,78.0,,,158,,,A,0.0,,NIL,0
378880,S157002,Add penalty,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,155.5,,13.5,158,P,,A,0.0,P,NIL,0
386889,S161348,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,78.0,,,158,,,A,0.0,,NIL,2
379133,S157118,Add penalty,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,77.5,,13.5,158,P,,A,0.0,P,NIL,0
99053,C21988,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,180,,,A,0.0,,NIL,0
386224,S161002,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,389.0,,,180,,,A,0.0,,NIL,0
380598,S157923,Payment,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,78.0,78.0,,158,,,A,78.0,,NIL,0
388741,S162317,Create Fine,2010/12/01 00:00:00.000,2010/12/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
387038,S161401,Create Fine,2010/12/02 00:00:00.000,2010/12/02 00:00:00.000,78.0,,,158,,,A,0.0,,NIL,0
98638,C21740,Insert Fine Notification,2010/12/02 00:00:00.000,2010/12/02 00:00:00.000,389.0,,26.0,23,P,,A,0.0,C,NIL,0
348001,S140815,Payment,2010/12/02 00:00:00.000,2010/12/02 00:00:00.000,155.5,77.5,13.5,158,P,,A,169.0,P,NIL,2
98637,C21740,Send Fine,2010/12/02 00:00:00.000,2010/12/02 00:00:00.000,389.0,,26.0,23,,,A,0.0,,NIL,0
